Attack Type,Trigram,Count
Gradient-Based Image Inversion from Class Labels,train with dp,1
Gradual Model Corruption via Retraining,anomaly detection on,1
Graph Structure and Feature Reconstruction,apply differential privacy,1
Guided Input Reconstruction using Known Members,add dp noise,1
HMAC Secret Guessing via JWT Header Abuse,use long random,1
HMAC Signature Validation Timing Attack,use constant time,1
HMI Exploitation,short lived tokens,1
HTML Smuggling,disable script execution,1
HTML Smuggling,educate users on,1
HTML Smuggling,script execution in,1
HTML Smuggling,users not to,1
HTTP Parameter Pollution (HPP),server side validation,1
HTTP Request Smuggling / Injection,strict input validation,2
HTTPS Downgrade & Credential Intercept,train users to,1
HTTPS Downgrade & Credential Intercept,users to verify,1
HTTPS Downgrade and Credential Theft,public wi fi,1
Hallucinated Classification of Sensitive Content,do not allow,1
Hardcoded Password in Template,store secrets in,1
Hardware Debug Interface Access,disable debug ports,1
Hardware Interface Exploitation,full disk encryption,4
Hardware Interface Exploitation,disable debug ports,2
Hardware Interface Exploitation,secure boot and,2
Hardware Interface Exploitation,use read only,1
Hardware Interface Exploitation,use secure boot,1
Hardware Padding Oracle on RSA in Smart Cards,constant time crypto,1
Hardware Padding Oracle on RSA in Smart Cards,implement constant time,1
Hardware Padding Oracle on RSA in Smart Cards,use rsa oaep,1
Hardware-Based Side Channel Attack (Acoustic Emission Leakage),use constant time,1
Hardware-Based Side Channel Attack (Cache Timing Leakage),constant time crypto,1
Hardware-Based Side Channel Attack (Cache Timing Leakage),use constant time,1
Hardware-Based Side Channel Attack (Thermal Residue Leakage),multi factor authentication,1
Hash Collision Attack in Blockchain,sha 256 or,1
Hash Collision in Token Metadata or Art Reference,use sha 256,1
Hash Collision to Forge File Integrity,use sha 256,1
Hash Function Collision,sha 256 or,1
Hash Preimage with File Forgery,use sha 256,1
Header Injection to Alter Authentication or Behavior,and validate all,1
Header Injection to Alter Authentication or Behavior,sanitize and validate,1
Heap Spray with Memory Page Control,restrict access to,1
Hidden Field + Overlay,train users to,1
Hidden Frame + CSS Overlay,content security policy,1
Hidden Iframe Clickjacking,content security policy,1
Hidden Iframe Clickjacking,frame options deny,1
Hide credential-stealing payloads in ADS for stealth exfiltration,via applocker or,1
Hide payload using alternate extension in ADS,if not needed,1
Host Binary Hijack via Shared Library Injection,use read only,1
Host Filesystem Tampering from Inside Container,use read only,1
HostPath Exploitation,use read only,1
Hybrid Adaptive and Chosen Ciphertext Oracle Attack,use rsa oaep,1
Hybrid Android-Targeted Attack,educate users not,1
Hybrid Android-Targeted Attack,users not to,1
Hyperparameter-Aware Gradient Inversion,add dp noise,1
ID-based Access Manipulation,never trust client,1
IDOR (Insecure Direct Object Reference),on server side,1
IMAP/POP Credential Interception,disable auto connect,1
IMAP/POP Credential Interception,educate users on,1
IMAP/POP Credential Interception,open wi fi,1
IMAP/POP Credential Interception,public wi fi,1
IMAP/POP Credential Interception,train users to,1
IMSI Catcher / Rogue Cell,end to end,1
IP Packet Fragmentation to Bypass IDS/IPS,deep packet inspection,1
IP Spoofing,deep packet inspection,1
IP-based Privilege Escalation,multi factor authentication,1
IPv6 MITM via Fake RA + DNS Hijack,if not needed,1
Identify Open Ports and Allowed Protocols,enforce least privilege,1
Identity Federation Abuse / Privilege Escalation,enforce least privilege,1
Impact → Business Process Disruption,role based access,1
Impact → Data Wiping or Corruption,restrict write access,1
Impact → Data Wiping or Corruption,write access to,1
Impact → Denial-of-Service (Internal),dynamic arp inspection,1
Impact → Denial-of-Service (Internal),enable dhcp snooping,1
Implanted Hardware,from trusted sources,1
Improper Session Logout / Token Reuse → Token Reuse on Other Device,use short lived,1
In-Memory Injection via ctypes / FFI,use code signing,1
Indirect or Noisy Oracle Responses,use rsa oaep,1
Inferring Training Data Membership,use differential privacy,1
Info Disclosure via Misconfig,access to internal,1
Info Disclosure via Misconfig,to internal ips,1
Info Stealer,from unknown sources,1
Information Disclosure,rate limiting and,1
Information Disclosure,role based access,1
Information Disclosure / Recon,if not needed,1
Information Disclosure via URL,to ip device,1
Information Disclosure via URL,use short lived,1
Information Leak,use differential privacy,1
Information Leakage,apply differential privacy,1
Infrastructure as Code Abuse,enforce least privilege,1
Infrastructure as Code Abuse,least privilege on,1
Initial Access,use short lived,1
Initial Access via Weaponized Documents,by default use,1
Initial Access via Weaponized Documents,disable macros by,1
Initial Access via Weaponized Documents,macros by default,1
Inject %s into SSH username,sanitize user input,1
Inject Root Shell via Uncommitted Journal Write,write access to,1
Inject rootkit into Master Boot Record (MBR),full disk encryption,1
Injection / Code Execution,strict input validation,1
Injection and Remote Code Execution via API Gateways,validate and sanitize,1
Injection of Malicious or Fake Data into Vector DB,and validate all,1
Injection of Malicious or Fake Data into Vector DB,sanitize and validate,1
Injection via SQL UNION Operator,sanitize all user,1
Injection via SQL UNION Operator,use parameterized queries,1
Injection via SQL UNION Operator,validate and sanitize,1
Inline JS Execution via Attribute Injection,from user input,1
Inline JS Execution via Attribute Injection,user input use,1
Input Escaping,by default use,1
Input Manipulation / Business Logic Bypass / Client-side Trust Exploit,never trust client,1
Input Reconstruction from Attributions,limit access to,1
Input Reconstruction from Confidence Scores,differential privacy in,1
Input Reconstruction from Confidence Scores,use differential privacy,1
Input Reconstruction from Gradient Information,add noise to,1
Input Reconstruction from Gradient Information,noise to gradients,1
Input Sanitization,sanitize and validate,1
Input Spoofing,server side validation,1
Input Spoofing,use server side,1
Input Validation Bypass / RCE Prep,never trust client,1
Insecure Authentication – Logic Bypass,on server side,1
Insecure Authentication – Token Mismanagement,to ip device,1
Insecure Communication > Rogue Wi-Fi Access Point,disable auto connect,1
Insecure Communication > Wireless MITM,disable auto connect,1
Insecure Deserialization → RCE,validate and sanitize,1
Insecure Logging of Explanation Outputs,limit access to,1
Insecure Output Disclosure,restrict access to,1
Insecure Wallet Data Protection,enforce strong passwords,1
Insider/Cloud Log Exposure,enforce least privilege,1
Insider/Cloud Log Exposure,restrict log access,1
Installer Utility Exploitation,via applocker or,1
Insufficient Scope Enforcement,on server side,1
Integer Overflow,and validate all,1
Integer Overflow,sanitize and validate,1
Integer Overflow / Logic Bypass,before external calls,1
Integrity Verification,secure boot and,1
Intentional Label Flip to Misguide Model Behavior,and anomaly detection,1
Intentional Label Flip to Misguide Model Behavior,human in the,1
Intentional Label Flip to Misguide Model Behavior,in the loop,1
Interface Tampering,disable debug ports,1
Intermediate Layer Mimicry,add noise to,1
Internal Abuse of Shared Memory or Logs,role based access,1
Internal Agent Recon (Self-Inspection),block access to,1
Internal Email Exploit,macros by default,1
Internal Feature Visualization from CNN Layers,train with dp,1
Internal Recon,apply least privilege,1
Internal SSRF via Cloud Subdomain Collision,access to internal,1
Internal SSRF via Cloud Subdomain Collision,block access to,1
Inversion via Pretrained Model Layers,apply differential privacy,1
JWT Secret Brute Force via Known Payload,use long random,1
JWT Tampering & Signature Bypass,and alert on,1
JWT Tampering & Signature Bypass,do not allow,1
Jamming,and anomaly detection,1
JavaScript-Based API Calls,enforce server side,1
JavaScript-Based Tab Replacement,train users to,2
JavaScript-Based Tab Replacement,educate users on,1
JavaScript-Based Tab Replacement,users to verify,1
K8s Job Injection,alert on suspicious,1
KPA via Network Payload Injection,aes gcm or,1
KPA via Static Key in Firmware,rotate keys regularly,1
Kernel Info Leak via Diagnostics,restrict access to,1
Key Stream Bias Attack,aes gcm or,1
Key Theft & Unauthorized Bridge Approval,rotate keys regularly,1
Keylogger Installation,enforce strong passwords,1
Keylogger via Logon Trigger,educate users on,1
Keyspace Exhaustion / Symmetric Key Cracking,use strong encryption,1
Known Block Insertion,aes gcm or,1
LLMNR/NBT-NS Spoofing for Credential Capture,enforce smb signing,1
Label Flipping (Data Poisoning),restrict write access,1
Label Flipping (Data Poisoning),write access to,1
Latent Backdoor Activation via Repeated Trigger Phrase,use adversarial training,1
Lateral Movement,constrained language mode,2
Lateral Movement,enforce smb signing,2
Lateral Movement,apply least privilege,1
Lateral Movement / Privilege Escalation,enforce least privilege,1
Lateral Movement Tracing,enforce smb signing,1
Lateral Movement → Remote SYSTEM Shell via SMB Admin Shares,via applocker or,1
Layer 2 MITM + IP Impersonation,arp inspection dai,1
Layer 2 MITM + IP Impersonation,dynamic arp inspection,1
Layer 2 MITM + IP Impersonation,static arp entries,1
Layer 2 MITM + IP Impersonation,use static arp,1
Layer 2 Switch Port Attack,dynamic arp inspection,1
Legacy Software Exploitation,use code signing,1
Legitimate Feature Abuse / Remote Code Execution,script block logging,1
Link-based Drive-by Exploit,educate users on,2
Link-based Drive-by Exploit,educate users to,1
Link-based Drive-by Exploit,users to verify,1
LoRa Eavesdropping,end to end,1
LoRa/LPWAN Sniffing,end to end,1
Local File Inclusion (LFI) via File Picker + WebView,from user input,1
Local File Inclusion + Script Injection via WebView,from user input,1
Local File Inclusion via WebView,sanitize and validate,1
Local Network Spoofing / ZeroConf Exploitation,educate users not,1
Local Network Spoofing / ZeroConf Exploitation,users not to,1
Local Privilege Escalation,do not allow,1
Local Privilege Escalation,if not needed,1
Local Privilege Escalation (File Permission Abuse),restrict write access,1
Local Privilege Escalation (LPE),if not needed,1
Local Privilege Escalation (LPE),restrict access to,1
Local Privilege Escalation (Offline Bypass),full disk encryption,1
Local Privilege Escalation / Defense Evasion via LOLBin,restrict access to,1
Local Privilege Escalation / Persistence,write access to,1
Local Privilege Escalation via Boot,full disk encryption,1
Local Privilege Escalation via File Replace,full disk encryption,2
Local Privilege Escalation via File Replacement,full disk encryption,1
Local Privilege Escalation via UAC Bypass,and alert on,1
Lock user out or maintain persistence via EFI variables,secure boot and,1
Lock user out or maintain persistence via EFI variables,use secure boot,1
Log Analysis → SIEM Monitoring,script block logging,1
Log Exposure,restrict log access,1
Log Flooding via Noisy Syscalls,rate limiting and,1
Log-Based Secret Exposure,restrict log access,1
Logic Flaw / Authorization,server side validation,1
Logic Flaw / Gift Abuse,rate limiting and,1
Loss Value Comparison for Membership Inference,limit access to,1
MIA Enhanced by Adversarial Robustness,use differential privacy,1
MITM (Man-in-the-Middle) + Sniffing/DoS,arp inspection dai,1
MITM (Man-in-the-Middle) + Sniffing/DoS,dynamic arp inspection,1
MITM + DNS Poisoning,use static arp,1
MITM + DNS Spoofing (via ARP poisoning),arp inspection dai,1
MITM + DNS Spoofing (via ARP poisoning),dynamic arp inspection,1
MITM + Downgrade + Traffic Manipulation,educate users to,1
MITM + Downgrade + Traffic Manipulation,open wi fi,1
MITM + Phishing (Fake Login Page),educate users to,1
MITM + Rogue AP + Captive Portal Phishing,disable auto connect,1
MITM + SSL Downgrade,educate users to,1
MITM Attack on Mobile Wallet Connections,public wi fi,1
MITM by Spoofing Gateway IP,static arp entries,1
MITM-Based CCA on Encrypted Streams,end to end,1
Macro Malware in Email Attachments,disable macros by,1
Macro Malware in Email Attachments,macros by default,1
Macro Malware in Email Attachments,train users to,1
Macro Malware in Email Attachments,users not to,1
Macro Payload in Office Document,by default use,1
Macro Payload in Office Document,disable macros by,1
Macro Payload in Office Document,macros by default,1
Macro-based Code Execution (Trojan Office),disable macros by,1
Macro-based Code Execution (Trojan Office),macros by default,1
Malicious App Installation via Trojanized File,from unknown sources,1
Malicious DLL Execution,via applocker or,1
Malicious Embedded Images (Base64 Payloads),script execution in,3
Malicious Embedded Images (Base64 Payloads),disable script execution,2
Malicious Embedded Images (Base64 Payloads),educate users not,1
Malicious Embedded Images (Base64 Payloads),users not to,1
Malicious Entrypoint in Build,use only verified,1
Malicious Extension,educate users on,2
Malicious Extension,script execution in,2
Malicious Extension,use hardware wallets,1
Malicious Extension Abuse / Session Hijack,use hardware wallets,1
Malicious Firmware Updates,end to end,1
Malicious Libraries,use only verified,1
Malicious Library,disable script execution,1
Malicious Library,restrict access to,1
Malicious Library,script execution in,1
Malicious Library Injection,in ci cd,1
Malicious Macro,and alert on,1
Malicious Memory Manipulation,apply input validation,2
Malicious Peripheral Attack,and alert on,1
Malicious Peripheral Attack,do not allow,1
Malicious Peripheral Attack,use read only,1
Malware / Address Replacement,use hardware wallets,1
Malware / Credential Theft,from trusted sources,1
Malware / Credential Theft,use hardware wallets,1
Malware Delivery via Phishing,train users to,1
Man-in-the-Browser (MITB),and anomaly detection,2
Man-in-the-Browser (MITB),use server side,2
Man-in-the-Browser (MITB),educate users on,1
Man-in-the-Middle (MITM) Attack,arp inspection dai,1
Man-in-the-Middle (MITM) Attack,dynamic arp inspection,1
Man-in-the-Middle (MITM) Attack,static arp entries,1
Man-in-the-Middle + Proxy Hijack,users not to,1
Man-in-the-Middle via ARP,arp inspection dai,1
Man-in-the-Middle via ARP,dynamic arp inspection,1
Man-in-the-Middle via ARP,static arp entries,1
Man-in-the-Middle via ARP,use static arp,1
Man-in-the-Middle via DHCP + ARP,dynamic arp inspection,1
Man-in-the-Middle via DHCP + ARP,enable dhcp snooping,1
Man-in-the-Middle via DHCP + ARP,static arp entries,1
Man-in-the-Middle via DHCP + ARP,use static arp,1
Media Codec Exploit via Decoder Bugs,apply input validation,1
Media File Exploit,strict input validation,1
Membership Attack via AutoML Model Artifacts,limit access to,1
Membership Inference in Contrastive Learning Models,add noise to,1
Membership Inference in Fine-Tuned Models,differential privacy in,1
Membership Inference in Fine-Tuned Models,use differential privacy,1
Membership Inference on Generative Models,train with dp,1
Membership Inference on Graph-Structured Data,differential privacy in,1
Membership Inference on Specific Data Subsets,limit access to,1
Membership Inference through Model Confidence,apply differential privacy,1
Membership Inference via Medical Image Reconstruction,train with dp,1
Membership via Surrogate Model Ensemble,add noise to,1
Memorization of Proprietary Content via Fine-tuning,use differential privacy,1
Memory Dump,full disk encryption,1
Memory Extraction from Trusted Execution Environments,if not needed,1
Message Replay,restrict log access,1
Metadata Injection / Storage Exploitation,sanitize and validate,1
Metadata-Based Exposure,store secrets in,1
Microarchitectural Exploit,use constant time,1
Minimal Perturbation Attack,use adversarial training,1
Mining retrieval logs for sensitive info,restrict log access,1
Misconfiguration / Exposure via Network Defaults,enforce least privilege,1
Misconfiguration → Credential Disclosure,in ci cd,1
Misconfigured CI Variables,in ci cd,1
Misconfigured CORS,do not allow,1
Misconfigured CORS Headers,do not allow,1
Misconfigured Database Exposure + Metadata Service Exploitation,restrict access to,1
Misconfigured Database Exposure + Metadata Service Exploitation,store secrets in,1
Misconfigured S3 / Blob Storage Attacks,by default use,1
Misconfigured S3 / Blob Storage Attacks,content security policy,1
Misconfigured S3 / Blob Storage Attacks,role based access,1
Misconfigured S3 / Blob Storage Attacks,rotate keys regularly,1
Misconfigured S3 / Blob Storage Attacks,security policy csp,1
"Misinterpreted Data Between Languages (Rust ↔ Solidity, Python ↔ WASM)",end to end,1
Missing Authentication,role based access,1
Misuse of Legitimate Tools,educate users on,1
Misuse of Legitimate Tools,short lived tokens,1
Misuse of Legitimate Tools,use short lived,1
Mobile App Backend Leak + Cloud Token Abuse,apply least privilege,1
Mobile Phishing (Fake Apps / URLs),educate users to,1
Mobile Phishing (Fake Apps / URLs),from unknown sources,1
Mobile Power Side-Channel,limit access to,1
Mobile Ransomware,educate users to,1
Mobile Ransomware,from unknown sources,1
ModExp Timing Analysis,use constant time,1
Model Evasion via Adversarial Perturbation,use adversarial training,1
Model Evasion via Universal Perturbations,use adversarial training,1
Model Explanation Exploit,add noise to,1
Model Inference via Power/Timing,add noise to,1
Model Inference via Power/Timing,apply differential privacy,1
Model Inversion,apply differential privacy,1
Model Inversion Attack,use differential privacy,1
Model Leak,apply differential privacy,1
Model Stealing,differential privacy in,1
Model Stealing,limit access to,1
Model Stealing,use differential privacy,1
Model Update Exploitation via Gradient Inversion,add dp noise,1
Model Update Exploitation via Gradient Inversion,noise to gradients,1
Modify /proc/self/cgroup entries to override limits,use read only,1
Modify bootloader to hijack OS kernel loading,full disk encryption,1
Modify setuid binary to gain root shell,use read only,1
Modify systemd .service files to run attacker scripts,use read only,1
Mount Overlay Evasion,use read only,1
Multi-Agent Malware Transformation Chain,and anomaly detection,1
Multi-stage SSRF using internal microservice behavior,do not trust,1
Multi-stage SSRF using internal microservice behavior,validate and sanitize,1
"NVIDIA Driver, ioctl script",input validation and,1
Nested Callback Exploits in Bridge Withdraw Logic,update state before,1
Netmask/Segment Manipulation,enable dhcp snooping,1
Network (C2 Channel),and alert on,1
Network Attacks on Ground Infrastructure,end to end,1
Network Impersonation,disable auto connect,1
Network Interception / Credential Theft,auto connect to,1
Network Interception / Credential Theft,disable auto connect,1
Network Interception / Credential Theft,public wi fi,1
Network Reconnaissance,restrict access to,1
Network Reconnaissance,use strong encryption,1
Network Reconnaissance via SNMP,if not needed,1
Network Reconnaissance via SNMP,to internal ips,1
Network-Based Tab Replacement,public wi fi,1
No Auth Internal Access via SSRF,access to internal,1
No Root/Jailbreak Detection → Logic Modification via Objection,on server side,1
"No Root/Jailbreak Detection → Modify Stored App Data (Tokens, Config Files)",server side validation,1
NoSQL Injection,strict input validation,1
OS Command Injection via Web Input,sanitize user input,1
OS Command Injection via Web Input,user input use,1
Obfuscated Execution,script block logging,1
Obfuscation for Upload Execution,on server side,1
Obfuscation of Payloads,educate users on,1
Obfuscation of Payloads,restrict access to,1
Object Injection + Logic Bypass,validate and sanitize,1
Office Macro,by default use,1
Office Macro,disable macros by,1
Office Macro,macros by default,1
Offline Evasion,use server side,1
Offline WPA/WPA2 Password Cracking,rotate keys regularly,1
Offline WPA/WPA2 Password Cracking,use long random,1
On-Device Memory Extraction,use hardware wallets,1
On-path Spoofed Identity in Flat Network,dynamic arp inspection,1
Online Password Guessing,enforce strong passwords,1
Open Wi-Fi Phishing / Data Intercept,auto connect to,1
Open Wi-Fi Phishing / Data Intercept,disable auto connect,1
Open Wi-Fi Phishing / Data Intercept,open wi fi,1
Oracle Attack on IoT Devices using RSA PKCS#1 v1.5,use rsa oaep,1
Oracle Decryption via Encrypted API Calls,aes gcm or,1
Oracle Decryption via Encrypted API Calls,use constant time,1
Oracle on RSA Encrypted Keys in XML Signatures,use rsa oaep,1
Oracle via MAC-then-Encrypt Validation Timing,aes gcm or,1
Output Leak via Cache,use constant time,1
Output-based Execution in JS/CSV Context,use read only,1
Overbroad Tool Permissions (Shell/File/Email/Webhook),by default use,1
Overlay + Session Hijack,to ip device,1
OverlayFS Escape,use read only,1
OverlayFS/UnionFS trick,use read only,1
Packet Injection with MITM via ARP Spoofing,arp inspection dai,1
Packet Injection with MITM via ARP Spoofing,dynamic arp inspection,1
Padding Oracle + Side-Channel Hybrid Attack,implement constant time,1
Padding Oracle Exploit on RSA PKCS#1 v1.5,implement constant time,1
Padding Oracle via Detailed Error Leakage,use rsa oaep,1
Partial or Noisy Gradient Reconstruction,use differential privacy,1
Passive Information Gathering,use strong encryption,1
Passive Location Tracking Without GPS,from unknown sources,1
Passive MITM via ARP Replies,arp inspection dai,1
Passive MITM via ARP Replies,dynamic arp inspection,1
Passive MITM via ARP Replies,static arp entries,1
Passive MITM via ARP Replies,use static arp,1
Passive Network Monitoring (Sniffing),public wi fi,1
Passive Network Sniffing (MITM-ready),short lived tokens,1
Passive Network Sniffing (MITM-ready),use short lived,1
Passive Network Sniffing / Hijack,multi factor authentication,1
Passive Sniffing + Packet Capture,disable auto connect,1
Passive Sniffing + Packet Capture,open wi fi,1
Passive Traffic Capture,use strong encryption,1
Passive Traffic Sniffing / Token Theft,short lived tokens,1
Password Cracking on Encrypted ZIP/RAR/7z Archives,use long random,1
Path Hijacking via Intermediate Executable,write access to,1
Path Traversal,from user input,1
Path Traversal,sanitize and validate,1
Path Traversal + Sensitive File Access,from user input,1
Payload Obfuscation,use behavior based,1
Persistence / Backdoor,and alert on,1
Persistence / Backdoor,enforce least privilege,1
Persistence / Defense Evasion,enforce least privilege,2
Persistence / Defense Evasion,least privilege on,1
Persistence / Evasion,apply least privilege,1
Persistence / Local Privilege Escalation,apply least privilege,1
Persistence / Local Privilege Escalation,least privilege on,1
Persistence / Malware Delivery,enforce least privilege,1
Persistence / Malware Delivery,least privilege on,1
Persistence / Privilege Abuse via Cron,alert on suspicious,1
Persistence / Resource Exhaustion,anomaly detection on,1
Persistence / Resource Exhaustion,apply least privilege,1
Persistence / Social Engineering,educate users not,1
Persistence / Social Engineering,users not to,1
Persistence Recon,restrict write access,1
Persistence Recon,write access to,1
Persistence through script replacement,disable script execution,1
Persistence via Registry,write access to,1
Persistence → Malicious Browser Extensions,restrict write access,1
Persistent Access / Backdoor Injection,use only verified,1
Phishing / Chatbot Impersonation,use only verified,1
Phishing / Credential Theft,educate users on,1
Phishing / Credential Theft,use hardware wallets,1
Phishing / Social Engineering,enforce least privilege,1
Phishing / Social Engineering,least privilege on,1
Phishing / Social Engineering,use hardware wallets,1
Phishing over Fake AP,train users to,1
Phishing via Backup / Export Prompts,use hardware wallets,1
Phishing via OTP Hijack Interface,educate users not,1
Phishing via OTP Hijack Interface,users not to,1
Physical Access,secure boot and,1
Physical Delivery of Phishing Site,educate users not,1
Physical Delivery of Phishing Site,users not to,1
Physical Theft & Forensic Dumping,disable debug ports,3
Physical Theft & Forensic Dumping,full disk encryption,1
Physical Theft & Forensic Dumping,use code signing,1
Physical-Phishing Hybrid via QR Encoding,sanitize all user,1
Pipeline Trojan via Training Automation,apply input validation,1
Plaintext Key Exposure on Filesystem,full disk encryption,1
Point startup registry key or folder shortcut to ADS,write access to,1
Poisoned Source Policy,use only verified,1
Poisoning AI Output via Manipulated User Feedback Loops,human in the,1
Poisoning AI Output via Manipulated User Feedback Loops,in the loop,1
Poisoning via Pseudo-Label Generation,human in the,1
Poisoning via Pseudo-Label Generation,in the loop,1
Polymorphic Malware,full disk encryption,1
Polymorphic Malware,secure boot and,1
Polymorphic Malware,use secure boot,1
Post-Compromise Lateral Movement,short lived tokens,1
Post-Compromise Lateral Movement,to ip device,1
Power Side-Channel,implement constant time,1
Power Side-Channel Analysis,use constant time,1
Power Side-Channel Template Modeling,use constant time,1
Pre-Commit Hooks for IaC,and alert on,1
Precision Leakage due to Small Batch Size,add noise to,1
Precision Leakage due to Small Batch Size,noise to gradients,1
Predict OAuth Payload and Tokens,use long random,1
Predictable Firmware Contents Aid Key Recovery,aes gcm or,1
Preimage Cryptanalysis,sha 256 or,1
Preinstall Script Exploitation,disable script execution,1
Premature Contract Destruction,limit access to,1
Pretrained Model Backdoor Injection,from trusted sources,1
Preview-Based Phishing,alert on suspicious,1
Privacy Attack,train with dp,1
Privacy Attack / Data Exposure,apply differential privacy,1
Privacy Breach via Training Membership,add noise to,1
Private Key Reuse Across Chains,educate users not,1
Private Key Reuse Across Chains,users not to,1
Privilege Abuse,role based access,1
Privilege Escalation,apply least privilege,1
Privilege Escalation,enforce least privilege,1
Privilege Escalation,enforce server side,1
Privilege Escalation,enforce strong passwords,1
Privilege Escalation,from user input,1
Privilege Escalation (Horizontal),enforce server side,1
Privilege Escalation (Vertical),and alert on,1
Privilege Escalation (Vertical),never trust client,1
Privilege Escalation (Vertical),role based access,1
Privilege Escalation / Automation Abuse,apply least privilege,1
Privilege Escalation / Execution,enforce least privilege,1
Privilege Escalation / Execution,least privilege on,1
Privilege Escalation / Full Account Control,apply least privilege,1
Privilege Escalation / Lateral Movement,enforce least privilege,2
Privilege Escalation / Lateral Movement,least privilege on,1
Privilege Escalation / Persistence,if not needed,1
Privilege Escalation / Persistence,use code signing,1
Privilege Escalation / Policy Evasion,enforce least privilege,1
Privilege Escalation / Role Manipulation,never trust client,1
Privilege Escalation / Role Manipulation,role based access,1
Privilege Escalation / Trust Misconfiguration,enforce least privilege,1
Privilege Escalation via API,least privilege on,1
Privilege Escalation via API,rotate keys regularly,1
Privilege Escalation via Accessibility Abuse,educate users on,1
Privilege Escalation via Cookie Edit,never trust client,1
Privilege Escalation via Deserialization + API Abuse,enforce least privilege,1
Privilege Escalation via Extension APIs,restrict access to,1
Privilege Escalation via New Launch Daemon,restrict write access,1
Privilege Escalation via New Launch Daemon,write access to,1
Privilege Escalation via Over-Permissive IAM,apply least privilege,1
Privilege Escalation via Preferences GUI,restrict write access,1
Privilege Escalation via Preferences GUI,write access to,1
Privilege Escalation via Task COM Hijack,script block logging,1
Privilege Escalation via Token Spoofing,via applocker or,1
